,CPI94Q3,CPI94Q4,CPI95Q1,CPI95Q2,CPI95Q3,CPI95Q4,CPI96Q1,CPI96Q2,CPI96Q3,CPI96Q4,CPI97Q1,CPI97Q2,CPI97Q3,CPI97Q4,CPI98Q1,CPI98Q2,CPI98Q3,CPI98Q4,CPI99Q1,CPI99Q2,CPI99Q3,CPI99Q4,CPI00Q1,CPI00Q2,CPI00Q3,CPI00Q4,CPI01Q1,CPI01Q2,CPI01Q3,CPI01Q4,CPI02Q1,CPI02Q2,CPI02Q3,CPI02Q4,CPI03Q1,CPI03Q2,CPI03Q3,CPI03Q4,CPI04Q1,CPI04Q2,CPI04Q3,CPI04Q4,CPI05Q1,CPI05Q2,CPI05Q3,CPI05Q4,CPI06Q1,CPI06Q2,CPI06Q3,CPI06Q4,CPI07Q1,CPI07Q2,CPI07Q3,CPI07Q4,CPI08Q1,CPI08Q2,CPI08Q3,CPI08Q4,CPI09Q1,CPI09Q2,CPI09Q3,CPI09Q4,CPI10Q1,CPI10Q2,CPI10Q3,CPI10Q4,CPI11Q1,CPI11Q2,CPI11Q3,CPI11Q4,CPI12Q1,CPI12Q2,CPI12Q3,CPI12Q4,CPI13Q1,CPI13Q2,CPI13Q3,CPI13Q4,CPI14Q1,CPI14Q2,CPI14Q3,CPI14Q4,CPI15Q1,CPI15Q2,CPI15Q3,CPI15Q4,CPI16Q1,CPI16Q2,CPI16Q3,CPI16Q4,CPI17Q1,CPI17Q2,CPI17Q3,CPI17Q4,CPI18Q1,CPI18Q2,CPI18Q3,CPI18Q4,CPI19Q1,CPI19Q2,CPI19Q3,CPI19Q4,CPI20Q1,CPI20Q2,CPI20Q3,CPI20Q4,CPI21Q1,CPI21Q2,CPI21Q3,CPI21Q4,CPI22Q1,CPI22Q2,CPI22Q3,CPI22Q4,CPI23Q1,CPI23Q2,CPI23Q3,CPI23Q4,CPI24Q1,yrq,year,quarter,t,t0,t1,t2,t3,t4
72,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,1965_Q1,1965,1,,,,,,
73,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,1965_Q2,1965,2,,,,,,
74,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,1965_Q3,1965,3,,,,,,
75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,1965_Q4,1965,4,,,,,,
76,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,1966_Q1,1966,1,31.75,0.9343832020997089,1.8477690288713822,2.729658792650924,3.5695538057742837,3.8320209973753405
77,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,1966_Q2,1966,2,32.04666666666666,0.9049303099646577,1.7786561264822476,2.6107759517370654,2.870813397129224,3.494903266070337
78,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,1966_Q3,1966,3,32.336666666666666,0.8658901144211972,1.690547366250894,1.9482527574476993,2.566745696319961,3.597567261107115
79,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,1966_Q4,1966,4,32.61666666666667,0.8175779253960069,1.073071027082273,1.686254471129267,2.708226877874287,3.832396525293813
80,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,1967_Q1,1967,1,32.88333333333333,0.25342118601114905,0.8616320324378979,1.8753167764825163,2.9903699949315854,4.004054738976159
81,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,1967_Q2,1967,2,32.96666666666667,0.6066734074822833,1.6177957532861331,2.7300303336703635,3.741152679474191,4.752275025278041
